datastore,path,file,size,moddate
DEVAPP01_VOL9,[DEVAPP01_VOL9] dev-vartest2k12/,dev-vartest2k12_1.vmdk,64424509440,1/5/2016 15:10
DEVAPP01_VOL5,[DEVAPP01_VOL5] GHQPIOpenChefBE01/,GHQPIOpenChefBE01.vmdk,64424509440,12/31/2015 18:46
DEVAPP01_VOL2,[DEVAPP01_VOL2] GHQTESTAPI01/,GHQTESTAPI01.vmdk,53687091200,12/5/2015 18:06
DEVAPP01_VOL1,[DEVAPP01_VOL1] GHQTESTAPI03/,GHQTESTAPI03.vmdk,53687091200,12/5/2015 18:06
DEVAPP01_VOL5,[DEVAPP01_VOL5] gn_ksdpitst/,gn_ksdpitst.vmdk,64424509440,1/21/2016 12:46
DEVAPP01_VOL5,[DEVAPP01_VOL5] gn_ksdpitst/,gn_ksdpitst_1.vmdk,64424509440,1/21/2016 12:45
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-2k12devtest/,gn-2k12devtest.vmdk,64424509440,1/6/2016 14:02
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-2k12devtest/,gn-2k12devtest_1.vmdk,64424509440,1/6/2016 14:03
CHIAPP02S1_VOL4,[CHIAPP02S1_VOL4] gn-chi2012-1/,gn-chi2012-1.vmdk,64424509440,12/8/2015 20:32
CHIAPP02S1_VOL4,[CHIAPP02S1_VOL4] gn-chi2012-1/,gn-chi2012-1_1.vmdk,64424509440,12/8/2015 19:55
CHIAPP02S2_VOL3,[CHIAPP02S2_VOL3] gn-chi2k12-3/,gn-chi2k12-3.vmdk,64424509440,12/14/2015 20:22
CHIAPP02S2_VOL3,[CHIAPP02S2_VOL3] gn-chi2k12-3/,gn-chi2k12-3_1.vmdk,64424509440,12/14/2015 19:59
CHIAPP01S2_VOL4,[CHIAPP01S2_VOL4] gn-chi2k12tst-4/,gn-chi2k12tst-4.vmdk,64424509440,12/22/2015 15:55
CHIAPP01S2_VOL4,[CHIAPP01S2_VOL4] gn-chi2k12tst-4/,gn-chi2k12tst-4_1.vmdk,64424509440,12/22/2015 15:55
CHIAPP02S2_VOL1,[CHIAPP02S2_VOL1] gn-chi2k8-1/,gn-chi2k8-1.vmdk,75161927680,12/9/2015 15:56
CHIAPP02S2_VOL1,[CHIAPP02S2_VOL1] gn-chi2k8-1/,gn-chi2k8-1_1.vmdk,75161927680,12/9/2015 15:56
CHIAPP02S1_VOL4,[CHIAPP02S1_VOL4] gn-chi2k8tst09/,gn-chi2k8tst09.vmdk,75161927680,1/6/2016 15:24
CHIAPP02S1_VOL4,[CHIAPP02S1_VOL4] gn-chi2k8tst09/,gn-chi2k8tst09_1.vmdk,75161927680,1/6/2016 15:24
CHIAPP01S2_VOL4,[CHIAPP01S2_VOL4] gn-chi2k8tst-2/,gn-chi2k8tst-2.vmdk,75161927680,12/17/2015 14:56
CHIAPP01S2_VOL4,[CHIAPP01S2_VOL4] gn-chi2k8tst-2/,gn-chi2k8tst-2_1.vmdk,75161927680,12/17/2015 14:57
CHIAPP02S2_VOL4,[CHIAPP02S2_VOL4] gn-chi2k8tst-5/,gn-chi2k8tst-5.vmdk,75161927680,1/5/2016 12:00
CHIAPP02S2_VOL4,[CHIAPP02S2_VOL4] gn-chi2k8tst-5/,gn-chi2k8tst-5_1.vmdk,75161927680,1/5/2016 12:00
CHIAPP02S2_VOL2,[CHIAPP02S2_VOL2] gn-chidev2k12-1/,gn-chidev2k12-1.vmdk,64424509440,12/17/2015 12:21
CHIAPP02S2_VOL2,[CHIAPP02S2_VOL2] gn-chidev2k12-1/,gn-chidev2k12-1_1.vmdk,64424509440,12/17/2015 11:46
CHIAPP02S2_VOL2,[CHIAPP02S2_VOL2] gn-chidev2k8-2/,gn-chidev2k8-2.vmdk,75161927680,12/17/2015 16:29
CHIAPP02S2_VOL2,[CHIAPP02S2_VOL2] gn-chidev2k8-2/,gn-chidev2k8-2_1.vmdk,75161927680,12/17/2015 16:29
CHIAPP02S2_VOL2,[CHIAPP02S2_VOL2] gn-chiroletest/,gn-chiroletest.vmdk,64424509440,1/15/2016 16:20
CHIAPP02S2_VOL2,[CHIAPP02S2_VOL2] gn-chiroletest/,gn-chiroletest_1.vmdk,64424509440,1/15/2016 16:05
CHIAPP01S2_VOL4,[CHIAPP01S2_VOL4] gn-chitest2/,gn-chitest2.vmdk,64424509440,12/17/2015 15:41
CHIAPP01S2_VOL4,[CHIAPP01S2_VOL4] gn-chitest2/,gn-chitest2_1.vmdk,64424509440,12/17/2015 15:42
DEVAPP01_VOL7,[DEVAPP01_VOL7] gn-dev2k12-15/,gn-dev2k12-15.vmdk,64424509440,1/5/2016 14:01
DEVAPP01_VOL7,[DEVAPP01_VOL7] gn-dev2k12-15/,gn-dev2k12-15_1.vmdk,64424509440,1/5/2016 14:01
DEVAPP01_VOL7,[DEVAPP01_VOL7] gn-dev2k12-3/,gn-dev2k12-3.vmdk,64424509440,12/14/2015 19:35
DEVAPP01_VOL7,[DEVAPP01_VOL7] gn-dev2k12-3/,gn-dev2k12-3_1.vmdk,64424509440,12/14/2015 19:35
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-dev2k12-9/,gn-dev2k12-9.vmdk,64424509440,1/5/2016 13:25
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-dev2k12-9/,gn-dev2k12-9_1.vmdk,64424509440,1/5/2016 13:25
DEVAPP01_VOL9,[DEVAPP01_VOL9] gn-dev2k12tst09/,gn-dev2k12tst09.vmdk,64424509440,1/5/2016 15:33
DEVAPP01_VOL9,[DEVAPP01_VOL9] gn-dev2k12tst09/,gn-dev2k12tst09_1.vmdk,64424509440,1/5/2016 15:34
DEVAPP01_VOL5,[DEVAPP01_VOL5] gn-dev2k8-1/,gn-dev2k8-1_1.vmdk,75161927680,12/9/2015 16:51
DEVAPP01_VOL5,[DEVAPP01_VOL5] gn-dev2k8-1/,gn-dev2k8-1_2.vmdk,75161927680,12/9/2015 16:50
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-dev2k8test/,gn-dev2k8test.vmdk,75161927680,1/7/2016 15:07
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-dev2k8test/,gn-dev2k8test_1.vmdk,75161927680,1/6/2016 13:44
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-dev2k8tst-11/,gn-dev2k8tst-11.vmdk,75161927680,1/5/2016 16:20
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-dev2k8tst-11/,gn-dev2k8tst-11_1.vmdk,75161927680,1/5/2016 16:20
DEVAPP01_VOL8,[DEVAPP01_VOL8] gn-devtest1/,gn-devtest1.vmdk,64424509440,12/9/2015 15:21
DEVAPP01_VOL8,[DEVAPP01_VOL8] gn-devtest1/,gn-devtest1_1.vmdk,64424509440,12/9/2015 15:21
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-devtst2k12-4/,gn-devtst2k12-4.vmdk,64424509440,12/18/2015 18:57
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-devtst2k12-4/,gn-devtst2k12-4_1.vmdk,64424509440,12/18/2015 18:57
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-dpi2k12tst/,gn-dpi2k12tst.vmdk,64424509440,1/15/2016 12:24
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-dpi2k12tst/,gn-dpi2k12tst_1.vmdk,64424509440,1/15/2016 12:24
DEVAPP01_VOL9,[DEVAPP01_VOL9] gn-dpi2k12tst2/,gn-dpi2k12tst2.vmdk,64424509440,1/15/2016 12:18
DEVAPP01_VOL9,[DEVAPP01_VOL9] gn-dpi2k12tst2/,gn-dpi2k12tst2_1.vmdk,64424509440,1/15/2016 12:19
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-dpitst2k12-3/,gn-dpitst2k12-3.vmdk,64424509440,1/15/2016 12:42
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-dpitst2k12-3/,gn-dpitst2k12-3_1.vmdk,64424509440,1/15/2016 12:42
DEVAPP01_VOL5,[DEVAPP01_VOL5] gn-kaseyatstdev/,gn-kaseyatstdev.vmdk,64424509440,1/21/2016 12:46
DEVAPP01_VOL5,[DEVAPP01_VOL5] gn-kaseyatstdev/,gn-kaseyatstdev_1.vmdk,64424509440,1/21/2016 12:46
QTWAPP01S1_VOL2,[QTWAPP01S1_VOL2] gn-noroletst2/,gn-noroletst2.vmdk,64424509440,1/15/2016 16:46
QTWAPP01S1_VOL2,[QTWAPP01S1_VOL2] gn-noroletst2/,gn-noroletst2_1.vmdk,64424509440,1/15/2016 16:30
QTWAPP01S2_VOL2,[QTWAPP01S2_VOL2] gn-qtw2k12-3/,gn-qtw2k12-3.vmdk,64424509440,12/17/2015 16:02
QTWAPP01S2_VOL2,[QTWAPP01S2_VOL2] gn-qtw2k12-3/,gn-qtw2k12-3_1.vmdk,64424509440,12/17/2015 16:02
QTWAPP01S1_VOL3,[QTWAPP01S1_VOL3] gn-qtwcodetest/,gn-qtwcodetest.vmdk,64424509440,1/15/2016 15:51
QTWAPP01S1_VOL3,[QTWAPP01S1_VOL3] gn-qtwcodetest/,gn-qtwcodetest_1.vmdk,64424509440,1/15/2016 13:42
QTWAPP01S1_VOL1,[QTWAPP01S1_VOL1] gn-qtwdev2k12-2/,gn-qtwdev2k12-2.vmdk,64424509440,12/17/2015 16:23
QTWAPP01S1_VOL1,[QTWAPP01S1_VOL1] gn-qtwdev2k12-2/,gn-qtwdev2k12-2_1.vmdk,64424509440,12/17/2015 16:07
QTWAPP01S1_VOL1,[QTWAPP01S1_VOL1] gn-qtwdev2k8/,gn-qtwdev2k8.vmdk,75161927680,1/6/2016 14:01
QTWAPP01S1_VOL1,[QTWAPP01S1_VOL1] gn-qtwdev2k8/,gn-qtwdev2k8_1.vmdk,75161927680,1/6/2016 14:01
QTWAPP01S2_VOL4,[QTWAPP01S2_VOL4] gn-qtwtst1/,gn-qtwtst1.vmdk,64424509440,12/18/2015 12:02
QTWAPP01S2_VOL4,[QTWAPP01S2_VOL4] gn-qtwtst1/,gn-qtwtst1_1.vmdk,64424509440,12/18/2015 12:03
QTWAPP01S2_VOL3,[QTWAPP01S2_VOL3] gn-qtwtst2k12-1/,gn-qtwtst2k12-1.vmdk,64424509440,1/4/2016 18:23
QTWAPP01S2_VOL3,[QTWAPP01S2_VOL3] gn-qtwtst2k12-1/,gn-qtwtst2k12-1_1.vmdk,64424509440,1/4/2016 18:03
QTXAPP02S1_VOL2,[QTXAPP02S1_VOL2] gn-qtx2k12-3/,gn-qtx2k12-3.vmdk,64424509440,12/14/2015 20:26
QTXAPP02S1_VOL2,[QTXAPP02S1_VOL2] gn-qtx2k12-3/,gn-qtx2k12-3_1.vmdk,64424509440,12/14/2015 20:02
QTWAPP01S2_VOL2,[QTWAPP01S2_VOL2] gn-qtx2k12-7/,gn-qtx2k12-7.vmdk,64424509440,1/5/2016 13:54
QTWAPP01S2_VOL2,[QTWAPP01S2_VOL2] gn-qtx2k12-7/,gn-qtx2k12-7_1.vmdk,64424509440,1/5/2016 13:39
QTXAPP02S1_VOL2,[QTXAPP02S1_VOL2] gn-qtxdev2k12-2/,gn-qtxdev2k12-2.vmdk,64424509440,12/17/2015 13:21
QTXAPP02S1_VOL2,[QTXAPP02S1_VOL2] gn-qtxdev2k12-2/,gn-qtxdev2k12-2_1.vmdk,64424509440,12/17/2015 13:05
DEVAPP01_VOL9,[DEVAPP01_VOL9] gn-roletest2k12/,gn-roletest2k12.vmdk,64424509440,1/15/2016 16:21
DEVAPP01_VOL9,[DEVAPP01_VOL9] gn-roletest2k12/,gn-roletest2k12_1.vmdk,64424509440,1/15/2016 16:21
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-roletest5/,gn-roletest5.vmdk,64424509440,1/15/2016 16:54
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-roletest5/,gn-roletest5_1.vmdk,64424509440,1/15/2016 16:54
DEVAPP01_VOL9,[DEVAPP01_VOL9] gn-roletest6/,gn-roletest6.vmdk,64424509440,1/15/2016 17:20
DEVAPP01_VOL9,[DEVAPP01_VOL9] gn-roletest6/,gn-roletest6_1.vmdk,64424509440,1/15/2016 17:20
DEVAPP01_VOL9,[DEVAPP01_VOL9] gn-upgtest1/,gn-upgtest1.vmdk,64424509440,1/21/2016 12:54
DEVAPP01_VOL9,[DEVAPP01_VOL9] gn-upgtest1/,gn-upgtest1_1.vmdk,64424509440,1/21/2016 12:53
DEVAPP01_VOL9,[DEVAPP01_VOL9] greg-2012tst-21/,greg-2012tst-21.vmdk,64424509440,11/30/2015 19:09
DEVAPP01_VOL9,[DEVAPP01_VOL9] greg-2012tst-21/,greg-2012tst-21_1.vmdk,64424509440,11/30/2015 19:09
DEVAPP01_VOL10,[DEVAPP01_VOL10] greg-2k12tst-20/,greg-2k12tst-20.vmdk,64424509440,11/30/2015 15:42
DEVAPP01_VOL10,[DEVAPP01_VOL10] greg-2k12tst-20/,greg-2k12tst-20_1.vmdk,64424509440,11/30/2015 15:42
QTXAPP02S1_VOL1,[QTXAPP02S1_VOL1] greg-qtx2k8-2/,greg-qtx2k8-2.vmdk,75161927680,12/1/2015 20:34
QTXAPP02S1_VOL1,[QTXAPP02S1_VOL1] greg-qtx2k8-2/,greg-qtx2k8-2_1.vmdk,75161927680,12/1/2015 20:34
QTXAPP01S2_VOL1,[QTXAPP01S2_VOL1] greg-qtx2k8tst1/,greg-qtx2k8tst1.vmdk,75161927680,10/30/2015 13:26
QTXAPP01S2_VOL1,[QTXAPP01S2_VOL1] greg-qtx2k8tst1/,greg-qtx2k8tst1_1.vmdk,75161927680,10/30/2015 13:26
QTXAPP01S2_VOL2,[QTXAPP01S2_VOL2] greg-qtxtest/,greg-qtxtest.vmdk,64424509440,10/23/2015 15:32
QTXAPP01S2_VOL2,[QTXAPP01S2_VOL2] greg-qtxtest/,greg-qtxtest_1.vmdk,64424509440,10/23/2015 15:22
DEVAPP01_VOL9,[DEVAPP01_VOL9] greg-test2k8-24/,greg-test2k8-24.vmdk,75161927680,11/30/2015 20:07
