#TYPE VMware.VimAutomation.ViCore.Impl.V1.AdvancedSettingImpl
"Uid","Value","Description","Type","Entity","Id","Name","Client"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-scsi1.sasWWID/","50 05 05 6e 02 11 ed 10",,"VM","ATEDrone10","VMSetting-scsi1.sasWWID","scsi1.sasWWID","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-ethernet0.pciSlotNumber/","192",,"VM","ATEDrone10","VMSetting-ethernet0.pciSlotNumber","ethernet0.pciSlotNumber","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-monitor.phys_bits_used/","42",,"VM","ATEDrone10","VMSetting-monitor.phys_bits_used","monitor.phys_bits_used","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-vmotion.checkpointSVGAPrimarySize/","8388608",,"VM","ATEDrone10","VMSetting-vmotion.checkpointSVGAPrimarySize","vmotion.checkpointSVGAPrimarySize","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-svga.guestBackedPrimaryAware/","true",,"VM","ATEDrone10","VMSetting-svga.guestBackedPrimaryAware","svga.guestBackedPrimaryAware","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-vmware.tools.internalversion/","10240",,"VM","ATEDrone10","VMSetting-vmware.tools.internalversion","vmware.tools.internalversion","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-vmware.tools.requiredversion/","9541",,"VM","ATEDrone10","VMSetting-vmware.tools.requiredversion","vmware.tools.requiredversion","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-migrate.hostLogState/","none",,"VM","ATEDrone10","VMSetting-migrate.hostLogState","migrate.hostLogState","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-migrate.migrationId/","0",,"VM","ATEDrone10","VMSetting-migrate.migrationId","migrate.migrationId","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-migrate.hostLog/","ATEDrone10-0c13e917.hlog",,"VM","ATEDrone10","VMSetting-migrate.hostLog","migrate.hostLog","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-replay.filename/","",,"VM","ATEDrone10","VMSetting-replay.filename","replay.filename","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-sched.swap.derivedName/","/vmfs/volumes/552d1f38-0fcf859d-37df-f8bc12c6e3b1/ATEDrone10/ATEDrone10-612254eb.vswp",,"VM","ATEDrone10","VMSetting-sched.swap.derivedName","sched.swap.derivedName","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-scsi0:0.redo/","",,"VM","ATEDrone10","VMSetting-scsi0:0.redo","scsi0:0.redo","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-scsi1:0.redo/","",,"VM","ATEDrone10","VMSetting-scsi1:0.redo","scsi1:0.redo","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-vm.genid/","-1222518291129246251",,"VM","ATEDrone10","VMSetting-vm.genid","vm.genid","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-tools.deployPkg.fileName/","imcFD3C.tmp",,"VM","ATEDrone10","VMSetting-tools.deployPkg.fileName","tools.deployPkg.fileName","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
