#TYPE Selected.VMware.Vim.GuestInfo
"HostName","ToolsVersionStatus"
"ghqpiauditfe2","guestToolsNeedUpgrade"
"ghqpichefcrp6.atl.careerbuilder.com","guestToolsNeedUpgrade"
"GHQBUILD04.cb.careerbuilder.com","guestToolsCurrent"
"GHQPIOChefBE01","guestToolsCurrent"
"ghqpicheffe02","guestToolsCurrent"
"GHQVREBWS01.atl.careerbuilder.com","guestToolsCurrent"
"ghqpichefcp2","guestToolsCurrent"
"GHQVCHIDOC02.atl.careerbuilder.com","guestToolsCurrent"
"ghqpichefproxy2.atl.careerbuilder.com","guestToolsCurrent"
"GHQFOUND05.cb.careerbuilder.com","guestToolsCurrent"
"GHQVCHIWWW06.atl.careerbuilder.com","guestToolsCurrent"
"ATEDRONE04.atl.careerbuilder.com","guestToolsCurrent"
"ATEDRONE01.atl.careerbuilder.com","guestToolsCurrent"
"GHQVREBDOC01.atl.careerbuilder.com","guestToolsCurrent"
"ghqpiauditfe01","guestToolsCurrent"
"ghqpichefcrp7.atl.careerbuilder.com","guestToolsCurrent"
"GHQVCHIWWW02.atl.careerbuilder.com","guestToolsCurrent"
"GHQVREBSC01.atl.careerbuilder.com","guestToolsCurrent"
"PIREPORT02.atl.careerbuilder.com","guestToolsCurrent"
"GHQVCHIDOC03.atl.careerbuilder.com","guestToolsCurrent"
"GHQFOUND03.cb.careerbuilder.com","guestToolsCurrent"
"GHQPIBLOG.atl.careerbuilder.com","guestToolsCurrent"
"GHQVREBWWW05.atl.careerbuilder.com","guestToolsCurrent"
"GHQPRODBLAST2.atl.careerbuilder.com","guestToolsCurrent"
"GHQVCHIDOC01.atl.careerbuilder.com","guestToolsCurrent"
"converter","guestToolsNotInstalled"
"GHQVASYNC04.atl.careerbuilder.com","guestToolsCurrent"
"GHQVMailSM08.atl.careerbuilder.com","guestToolsCurrent"
"ghqpichefcrp5","guestToolsNeedUpgrade"
"ghqpichefghp2","guestToolsCurrent"
"ghqpichefghp4","guestToolsCurrent"
"GHQVREBIMG01.atl.careerbuilder.com","guestToolsCurrent"
"ghqpiauditdb1","guestToolsCurrent"
"GHQVSVC01.atl.careerbuilder.com","guestToolsCurrent"
"ghqpichefghrp4","guestToolsCurrent"
"ghqpiartifact03","guestToolsCurrent"
"GHQVASYNC02.atl.careerbuilder.com","guestToolsCurrent"
"ghqpigitbackup2","guestToolsCurrent"
"GHQVMAIL01.atl.careerbuilder.com","guestToolsCurrent"
"ghqpichefghrp3","guestToolsCurrent"
"GHQVREBDIO03.atl.careerbuilder.com","guestToolsCurrent"
"GHQBUILD3.cb.careerbuilder.com","guestToolsCurrent"
"ghqpichefcrp4","guestToolsNotInstalled"
"GHQVCHIDIO01.atl.careerbuilder.com","guestToolsCurrent"
"ATEDRONE03.atl.careerbuilder.com","guestToolsCurrent"
"GHQTEST2.atl.careerbuilder.com","guestToolsCurrent"
"ghqpichefghrp2","guestToolsCurrent"
"ghqpichefghrp1","guestToolsCurrent"
"ghqpichefghp1","guestToolsCurrent"
"GHQVBATCHA01.atl.careerbuilder.com","guestToolsCurrent"
"ghqchipsbhive01","guestToolsCurrent"
"GHQFLASH.atl.careerbuilder.com","guestToolsCurrent"
"GHQVASYNC03.atl.careerbuilder.com","guestToolsCurrent"
