datastore,path,file,size,moddate
CHIAPP02S2_VOL4,[CHIAPP02S2_VOL4] chi-2k8tst-2/,chi-2k8tst-2_1.vmdk,75161927680,12/02/2015 12:32:24
CHIAPP02S2_VOL4,[CHIAPP02S2_VOL4] chi-2k8tst-2/,chi-2k8tst-2.vmdk,75161927680,12/02/2015 12:32:05
DEVAPP01_VOL1,[DEVAPP01_VOL1] greg-tst2k12-31/,greg-tst2k12-31.vmdk,64424509440,11/30/2015 14:31:09
DEVAPP01_VOL1,[DEVAPP01_VOL1] greg-tst2k12-31/,greg-tst2k12-31_1.vmdk,64424509440,11/30/2015 14:31:22
DEVAPP01_VOL1,[DEVAPP01_VOL1] GHQTESTAPI03/,GHQTESTAPI03.vmdk,53687091200,12/05/2015 18:06:50
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-dpitst2k12-3/,gn-dpitst2k12-3_1.vmdk,64424509440,01/15/2016 12:42:37
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-dpitst2k12-3/,gn-dpitst2k12-3.vmdk,64424509440,01/15/2016 12:42:24
DEVAPP01_VOL10,[DEVAPP01_VOL10] mwtest12-15-4/,mwtest12-15-4.vmdk,64424509440,12/15/2015 18:28:09
DEVAPP01_VOL10,[DEVAPP01_VOL10] mwtest12-3-6/,mwtest12-3-6.vmdk,64424509440,12/04/2015 17:43:39
DEVAPP01_VOL10,[DEVAPP01_VOL10] contentlib-4f5bffca-0598-400f-8dd8-a0eb4c9effa0/1abcbd79-0a19-4a31-8d1c-5c0c28017e20/,disk-vdcs-1_75065bdb-b2e2-4118-ba00-be547003b7f2.vmdk,2876243968,12/17/2015 17:14:15
DEVAPP01_VOL10,[DEVAPP01_VOL10] contentlib-4f5bffca-0598-400f-8dd8-a0eb4c9effa0/5ae55c08-3916-4564-b0c0-839b53ee40dc/,disk-vdcs-1_732ad842-0c79-4255-babd-d9692b09d802.vmdk,21290287104,01/18/2016 19:25:33
DEVAPP01_VOL10,[DEVAPP01_VOL10] contentlib-4f5bffca-0598-400f-8dd8-a0eb4c9effa0/5ae55c08-3916-4564-b0c0-839b53ee40dc/,disk-vdcs-2_732ad842-0c79-4255-babd-d9692b09d802.vmdk,255852544,01/18/2016 19:24:47
DEVAPP01_VOL10,[DEVAPP01_VOL10] contentlib-4f5bffca-0598-400f-8dd8-a0eb4c9effa0/04e6a69c-f091-4374-836d-c84287ffae86/,disk-vdcs-1_9524b95b-0326-4f67-abbc-e4aa93373395.vmdk,2876243968,01/20/2016 20:39:16
DEVAPP01_VOL10,[DEVAPP01_VOL10] contentlib-4f5bffca-0598-400f-8dd8-a0eb4c9effa0/0c3ed669-cf8e-4edc-adc6-6d720137f084/,disk-vdcs-1_03a0a158-28b5-47ef-8b45-743f94e57d56.vmdk,13586399232,10/23/2015 18:47:26
DEVAPP01_VOL10,[DEVAPP01_VOL10] contentlib-4f5bffca-0598-400f-8dd8-a0eb4c9effa0/ffe8046d-e38f-47ac-bf70-896393c5ed35/,disk-vdcs-2_1408f655-ea05-442e-8b80-9002f232ada6.vmdk,257949696,03/09/2016 13:33:23
DEVAPP01_VOL10,[DEVAPP01_VOL10] contentlib-4f5bffca-0598-400f-8dd8-a0eb4c9effa0/ffe8046d-e38f-47ac-bf70-896393c5ed35/,disk-vdcs-1_1408f655-ea05-442e-8b80-9002f232ada6.vmdk,16542334976,03/09/2016 13:33:51
DEVAPP01_VOL10,[DEVAPP01_VOL10] contentlib-4f5bffca-0598-400f-8dd8-a0eb4c9effa0/42db647d-5f68-4f7a-b8d9-bc577ab22a90/,disk-vdcs-2_59e3716a-8ab1-4adc-b5fa-194727ee2ba2.vmdk,255852544,03/09/2016 13:33:05
DEVAPP01_VOL10,[DEVAPP01_VOL10] contentlib-4f5bffca-0598-400f-8dd8-a0eb4c9effa0/42db647d-5f68-4f7a-b8d9-bc577ab22a90/,disk-vdcs-1_59e3716a-8ab1-4adc-b5fa-194727ee2ba2.vmdk,21557673984,03/09/2016 13:34:07
DEVAPP01_VOL10,[DEVAPP01_VOL10] MWTMP126-1/,MWTMP126-1.vmdk,80530636800,01/28/2016 18:36:15
DEVAPP01_VOL10,[DEVAPP01_VOL10] contentlib-4f5bffca-0598-400f-8dd8-a0eb4c9effa0/82a3fd01-0350-42a2-93e5-f8123cbcaafd/,disk-vdcs-1_72b211af-3b67-446a-9280-3485694a6d47.vmdk,16398680064,01/18/2016 19:25:34
DEVAPP01_VOL10,[DEVAPP01_VOL10] contentlib-4f5bffca-0598-400f-8dd8-a0eb4c9effa0/82a3fd01-0350-42a2-93e5-f8123cbcaafd/,disk-vdcs-2_72b211af-3b67-446a-9280-3485694a6d47.vmdk,257949696,01/18/2016 19:25:01
DEVAPP01_VOL10,[DEVAPP01_VOL10] mwtest12-3-4/,mwtest12-3-4.vmdk,64424509440,12/04/2015 18:09:47
DEVAPP01_VOL10,[DEVAPP01_VOL10] CentOS6-Basic-Template/,CentOS6-Basic-Template.vmdk,64424509440,10/20/2015 14:47:57
DEVAPP01_VOL10,[DEVAPP01_VOL10] greg-tst2k8-11/,greg-tst2k8-11_1.vmdk,75161927680,12/01/2015 12:17:02
DEVAPP01_VOL10,[DEVAPP01_VOL10] greg-tst2k8-11/,greg-tst2k8-11.vmdk,75161927680,12/01/2015 12:17:01
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-dev2k8tst-11/,gn-dev2k8tst-11_1.vmdk,75161927680,01/05/2016 16:20:26
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-dev2k8tst-11/,gn-dev2k8tst-11.vmdk,75161927680,01/05/2016 16:20:12
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-dev2k8test/,gn-dev2k8test_1.vmdk,75161927680,01/06/2016 13:44:24
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-dev2k8test/,gn-dev2k8test.vmdk,75161927680,01/07/2016 15:07:58
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-devtst2k12-4/,gn-devtst2k12-4_1.vmdk,64424509440,12/18/2015 18:57:32
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-devtst2k12-4/,gn-devtst2k12-4.vmdk,64424509440,12/18/2015 18:57:18
DEVAPP01_VOL10,[DEVAPP01_VOL10] greg-tst2k8-30/,greg-tst2k8-30.vmdk,75161927680,12/01/2015 13:02:32
DEVAPP01_VOL10,[DEVAPP01_VOL10] greg-tst2k8-30/,greg-tst2k8-30_1.vmdk,75161927680,12/01/2015 13:02:32
DEVAPP01_VOL10,[DEVAPP01_VOL10] greg-2k12tst-20/,greg-2k12tst-20_1.vmdk,64424509440,11/30/2015 15:42:38
DEVAPP01_VOL10,[DEVAPP01_VOL10] greg-2k12tst-20/,greg-2k12tst-20.vmdk,64424509440,11/30/2015 15:42:35
DEVAPP01_VOL10,[DEVAPP01_VOL10] vmtoolupgtest1/,vmtoolupgtest1_1.vmdk,64424509440,11/25/2015 13:43:55
DEVAPP01_VOL10,[DEVAPP01_VOL10] vmtoolupgtest1/,vmtoolupgtest1.vmdk,64424509440,11/25/2015 13:43:42
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-dpi2k12tst/,gn-dpi2k12tst.vmdk,64424509440,01/15/2016 12:24:04
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-dpi2k12tst/,gn-dpi2k12tst_1.vmdk,64424509440,01/15/2016 12:24:16
DEVAPP01_VOL10,[DEVAPP01_VOL10] mwtest12-15-2/,mwtest12-15-2.vmdk,64424509440,12/15/2015 17:13:44
DEVAPP01_VOL10,[DEVAPP01_VOL10] contentlib-4f5bffca-0598-400f-8dd8-a0eb4c9effa0/6cddebec-6dce-467b-be61-c51d0b6c2f76/,disk-vdcs-1_952768a3-93d3-4e02-a928-3e77f2e78abf.vmdk,14229176320,03/15/2016 16:49:45
DEVAPP01_VOL10,[DEVAPP01_VOL10] greg-tst2k12-29/,greg-tst2k12-29.vmdk,64424509440,12/01/2015 12:09:19
DEVAPP01_VOL10,[DEVAPP01_VOL10] greg-tst2k12-29/,greg-tst2k12-29_1.vmdk,64424509440,12/01/2015 12:09:21
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-2k12devtest/,gn-2k12devtest_1.vmdk,64424509440,01/06/2016 14:03:09
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-2k12devtest/,gn-2k12devtest.vmdk,64424509440,01/06/2016 14:02:52
DEVAPP01_VOL10,[DEVAPP01_VOL10] mwtest12-15-3/,mwtest12-15-3.vmdk,64424509440,12/15/2015 18:28:10
DEVAPP01_VOL10,[DEVAPP01_VOL10] mwtest12-3-2/,mwtest12-3-2.vmdk,64424509440,12/04/2015 18:34:46
DEVAPP01_VOL10,[DEVAPP01_VOL10] greg-tst2k8-22/,greg-tst2k8-22_1.vmdk,75161927680,11/06/2015 16:10:32
DEVAPP01_VOL10,[DEVAPP01_VOL10] greg-tst2k8-22/,greg-tst2k8-22.vmdk,75161927680,11/06/2015 16:10:21
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-roletest5/,gn-roletest5_1.vmdk,64424509440,01/15/2016 16:54:37
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-roletest5/,gn-roletest5.vmdk,64424509440,01/15/2016 16:54:21
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-dev2k12-9/,gn-dev2k12-9_1.vmdk,64424509440,01/05/2016 13:25:30
DEVAPP01_VOL10,[DEVAPP01_VOL10] gn-dev2k12-9/,gn-dev2k12-9.vmdk,64424509440,01/05/2016 13:25:16
DEVAPP01_VOL2,[DEVAPP01_VOL2] GHQTESTAPI01/,GHQTESTAPI01.vmdk,53687091200,12/05/2015 18:06:45
DEVAPP01_VOL3,[DEVAPP01_VOL3] mwprdtst12171/,mwprdtst12171.vmdk,64424509440,12/17/2015 23:49:12
DEVAPP01_VOL3,[DEVAPP01_VOL3] mwprdtst12181/,mwprdtst12181.vmdk,64424509440,12/18/2015 19:45:14
DEVAPP01_VOL5,[DEVAPP01_VOL5] GHQPIOpenChefBE01/,GHQPIOpenChefBE01.vmdk,64424509440,12/31/2015 18:46:08
DEVAPP01_VOL5,[DEVAPP01_VOL5] gn-dev2k8-1/,gn-dev2k8-1_2.vmdk,75161927680,12/09/2015 16:50:41
DEVAPP01_VOL5,[DEVAPP01_VOL5] gn-dev2k8-1/,gn-dev2k8-1_1.vmdk,75161927680,12/09/2015 16:51:00
DEVAPP01_VOL5,[DEVAPP01_VOL5] gn-kaseyatstdev/,gn-kaseyatstdev.vmdk,64424509440,01/21/2016 12:46:51
DEVAPP01_VOL5,[DEVAPP01_VOL5] gn-kaseyatstdev/,gn-kaseyatstdev_1.vmdk,64424509440,01/21/2016 12:46:14
DEVAPP01_VOL5,[DEVAPP01_VOL5] gn_ksdpitst/,gn_ksdpitst.vmdk,64424509440,01/21/2016 12:46:21
DEVAPP01_VOL5,[DEVAPP01_VOL5] gn_ksdpitst/,gn_ksdpitst_1.vmdk,64424509440,01/21/2016 12:45:52
DEVAPP01_VOL7,[DEVAPP01_VOL7] gn-dev2k12-3/,gn-dev2k12-3.vmdk,64424509440,12/14/2015 19:35:11
DEVAPP01_VOL7,[DEVAPP01_VOL7] gn-dev2k12-3/,gn-dev2k12-3_1.vmdk,64424509440,12/14/2015 19:35:24
DEVAPP01_VOL7,[DEVAPP01_VOL7] gn-dev2k12-15/,gn-dev2k12-15.vmdk,64424509440,01/05/2016 14:01:42
DEVAPP01_VOL7,[DEVAPP01_VOL7] gn-dev2k12-15/,gn-dev2k12-15_1.vmdk,64424509440,01/05/2016 14:01:55
DEVAPP01_VOL8,[DEVAPP01_VOL8] Win2012R2-Test/,Win2012R2-Test_1.vmdk,64424509440,05/14/2015 13:51:59
DEVAPP01_VOL8,[DEVAPP01_VOL8] Win2012R2-Test/,Win2012R2-Test.vmdk,64424509440,05/14/2015 13:51:44
DEVAPP01_VOL8,[DEVAPP01_VOL8] gn-devtest1/,gn-devtest1.vmdk,64424509440,12/09/2015 15:21:33
DEVAPP01_VOL8,[DEVAPP01_VOL8] gn-devtest1/,gn-devtest1_1.vmdk,64424509440,12/09/2015 15:21:46
DEVAPP01_VOL9,[DEVAPP01_VOL9] gn-dev2k12tst09/,gn-dev2k12tst09_1.vmdk,64424509440,01/05/2016 15:34:07
DEVAPP01_VOL9,[DEVAPP01_VOL9] gn-dev2k12tst09/,gn-dev2k12tst09.vmdk,64424509440,01/05/2016 15:33:54
DEVAPP01_VOL9,[DEVAPP01_VOL9] dev-gntest2k12/,dev-gntest2k12.vmdk,64424509440,01/05/2016 13:08:03
DEVAPP01_VOL9,[DEVAPP01_VOL9] dev-gntest2k12/,dev-gntest2k12_1.vmdk,64424509440,01/05/2016 13:08:15
DEVAPP01_VOL9,[DEVAPP01_VOL9] greg-tst2k8-23/,greg-tst2k8-23_1.vmdk,75161927680,12/01/2015 12:55:55
DEVAPP01_VOL9,[DEVAPP01_VOL9] greg-tst2k8-23/,greg-tst2k8-23.vmdk,75161927680,12/01/2015 12:55:43
DEVAPP01_VOL9,[DEVAPP01_VOL9] greg-tst2k12-26/,greg-tst2k12-26_1.vmdk,64424509440,11/30/2015 20:16:33
DEVAPP01_VOL9,[DEVAPP01_VOL9] greg-tst2k12-26/,greg-tst2k12-26.vmdk,64424509440,11/30/2015 20:16:20
DEVAPP01_VOL9,[DEVAPP01_VOL9] dev-vartest2k12/,dev-vartest2k12_1.vmdk,64424509440,01/05/2016 15:10:21
DEVAPP01_VOL9,[DEVAPP01_VOL9] dev-vartest2k12/,dev-vartest2k12.vmdk,64424509440,01/05/2016 15:10:08
DEVAPP01_VOL9,[DEVAPP01_VOL9] jt-scripttest2/,jt-scripttest2.vmdk,64424509440,02/24/2016 14:31:03
DEVAPP01_VOL9,[DEVAPP01_VOL9] jt-scripttest2/,jt-scripttest2_1.vmdk,64424509440,02/24/2016 14:31:12
DEVAPP01_VOL9,[DEVAPP01_VOL9] DEVLM02/,DEVLM02_1.vmdk,64424509440,09/24/2015 17:51:29
DEVAPP01_VOL9,[DEVAPP01_VOL9] mwtest12-3-5/,mwtest12-3-5.vmdk,64424509440,12/04/2015 17:58:56
DEVAPP01_VOL9,[DEVAPP01_VOL9] testcopy7/,testcopy7_1-000001.vmdk,64424509440,10/14/2015 16:14:51
DEVAPP01_VOL9,[DEVAPP01_VOL9] testcopy7/,testcopy7-000001.vmdk,64424509440,10/14/2015 16:14:37
DEVAPP01_VOL9,[DEVAPP01_VOL9] gn-upgtest1/,gn-upgtest1_1.vmdk,64424509440,01/21/2016 12:53:55
DEVAPP01_VOL9,[DEVAPP01_VOL9] gn-upgtest1/,gn-upgtest1.vmdk,64424509440,01/21/2016 12:54:22
DEVAPP01_VOL9,[DEVAPP01_VOL9] mwtest12-15-1/,mwtest12-15-1.vmdk,64424509440,12/15/2015 17:13:45
DEVAPP01_VOL9,[DEVAPP01_VOL9] greg-test2k8-24/,greg-test2k8-24.vmdk,75161927680,11/30/2015 20:07:00
DEVAPP01_VOL9,[DEVAPP01_VOL9] greg-test2k8-24/,greg-test2k8-24_1.vmdk,75161927680,11/30/2015 20:07:12
DEVAPP01_VOL9,[DEVAPP01_VOL9] JT-scripttest/,JT-scripttest_1.vmdk,75161927680,02/24/2016 14:34:50
DEVAPP01_VOL9,[DEVAPP01_VOL9] JT-scripttest/,JT-scripttest_2.vmdk,75161927680,02/24/2016 14:34:30
DEVAPP01_VOL9,[DEVAPP01_VOL9] dev-gn2012test/,dev-gn2012test_1.vmdk,64424509440,01/04/2016 17:03:43
DEVAPP01_VOL9,[DEVAPP01_VOL9] dev-gn2012test/,dev-gn2012test.vmdk,64424509440,01/04/2016 17:03:30
DEVAPP01_VOL9,[DEVAPP01_VOL9] DEVLM01/,DEVLM01_1.vmdk,64424509440,09/24/2015 17:22:32
DEVAPP01_VOL9,[DEVAPP01_VOL9] mwtest12-3-3/,mwtest12-3-3.vmdk,64424509440,12/04/2015 18:30:53
DEVAPP01_VOL9,[DEVAPP01_VOL9] greg-2012tst-21/,greg-2012tst-21.vmdk,64424509440,11/30/2015 19:09:35
DEVAPP01_VOL9,[DEVAPP01_VOL9] greg-2012tst-21/,greg-2012tst-21_1.vmdk,64424509440,11/30/2015 19:09:49
DEVAPP01_VOL9,[DEVAPP01_VOL9] gn-dpi2k12tst2/,gn-dpi2k12tst2.vmdk,64424509440,01/15/2016 12:18:53
DEVAPP01_VOL9,[DEVAPP01_VOL9] gn-dpi2k12tst2/,gn-dpi2k12tst2_1.vmdk,64424509440,01/15/2016 12:19:05
DEVAPP01_VOL9,[DEVAPP01_VOL9] mwtest12-4-1/,mwtest12-4-1.vmdk,64424509440,12/04/2015 19:36:30
DEVAPP01_VOL9,[DEVAPP01_VOL9] gn-roletest6/,gn-roletest6_1.vmdk,64424509440,01/15/2016 17:20:54
DEVAPP01_VOL9,[DEVAPP01_VOL9] gn-roletest6/,gn-roletest6.vmdk,64424509440,01/15/2016 17:20:41
DEVAPP01_VOL9,[DEVAPP01_VOL9] mwtest12-15-5/,mwtest12-15-5.vmdk,64424509440,12/16/2015 23:20:47
DEVAPP01_VOL9,[DEVAPP01_VOL9] gn-roletest2k12/,gn-roletest2k12.vmdk,64424509440,01/15/2016 16:21:32
DEVAPP01_VOL9,[DEVAPP01_VOL9] gn-roletest2k12/,gn-roletest2k12_1.vmdk,64424509440,01/15/2016 16:21:45
MGMTGUEST2,[MGMTGUEST2] contentlib-cc6a45e5-0d40-4046-a308-a0cfe763baed/b0595e3a-72b2-4663-99a2-ba247d4dbfb3/,disk-vdcs-2_e5d1ebe7-9e46-4251-ba67-29d9873f996b.vmdk,257949696,01/19/2016 01:01:14
MGMTGUEST2,[MGMTGUEST2] contentlib-cc6a45e5-0d40-4046-a308-a0cfe763baed/b0595e3a-72b2-4663-99a2-ba247d4dbfb3/,disk-vdcs-1_e5d1ebe7-9e46-4251-ba67-29d9873f996b.vmdk,16396582912,01/19/2016 01:15:54
MGMTGUEST2,[MGMTGUEST2] contentlib-cc6a45e5-0d40-4046-a308-a0cfe763baed/b6aed065-ee0f-4f69-917e-96974e68d5b0/,disk-vdcs-1_bec9fd7f-d826-4a80-a89c-0de4d3c4e798.vmdk,1949302784,01/21/2016 01:02:37
MGMTGUEST2,[MGMTGUEST2] contentlib-cc6a45e5-0d40-4046-a308-a0cfe763baed/ab448cae-9749-442c-9531-6493bd31cbe0/,disk-vdcs-1_c27b7acd-c420-430c-8812-d3c707ec1101.vmdk,21287141376,01/19/2016 01:21:44
MGMTGUEST2,[MGMTGUEST2] contentlib-cc6a45e5-0d40-4046-a308-a0cfe763baed/ab448cae-9749-442c-9531-6493bd31cbe0/,disk-vdcs-2_c27b7acd-c420-430c-8812-d3c707ec1101.vmdk,235929600,01/19/2016 01:01:09
MGMTGUEST2,[MGMTGUEST2] contentlib-cc6a45e5-0d40-4046-a308-a0cfe763baed/7c9e6171-03cf-41db-b090-2938f4a152fc/,disk-vdcs-1_ada4e7a2-fb54-42b0-beae-29abc7d272e2.vmdk,13586399232,10/24/2015 00:31:56
MGMTGUEST2,[MGMTGUEST2] contentlib-cc6a45e5-0d40-4046-a308-a0cfe763baed/47c88e47-2b95-4785-9d80-332452bc77e7/,disk-vdcs-1_d3ce5c48-3124-47c2-9786-f6bceef662f7.vmdk,21555576832,03/10/2016 01:24:21
