"HostName","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Author","Task To Run","Start In","Comment","Scheduled Task State","Idle Time","Power Management","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Schedule","Schedule Type","Start Time","Start Date","End Date","Days","Months","Repeat: Every","Repeat: Until: Time","Repeat: Until: Duration","Repeat: Stop If Still Running"
"\\DPISVC5Q","\Grimreaper","6/24/2016 10:00:00 PM","Ready","Interactive/Background","6/23/2016 10:00:00 PM","0","Administrator","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","12/9/2014","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\DPISVC5Q","\Cycle","6/25/2016 2:43:00 AM","Ready","Interactive/Background","6/24/2016 2:43:00 AM","0","Administrator","C:\batch\cycle.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","cbatl\dpiusr","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","2:43:00 AM","12/9/2014","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\QTXSTATBATCH2","\Grimreaper","6/24/2016 10:00:00 PM","Ready","Interactive/Background","6/23/2016 9:59:59 PM","0","alwhite.site","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","12/2/2011","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\QTXSTATBATCH2","\Cycle","N/A","Disabled","Interactive/Background","N/A","1","alwhite.site","C:\batch\cycle.bat ","N/A","N/A","Disabled","Disabled","Stop On Battery Mode, No Start On Batteries","cbatl\webusr","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","1:24:00 AM","11/15/2011","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\QTXBATCH17","\Grimreaper","6/24/2016 10:00:00 PM","Ready","Interactive/Background","6/23/2016 10:00:00 PM","0","alwhite.site","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","12/2/2011","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\QTXBATCH17","\Cycle","N/A","Disabled","Interactive/Background","N/A","1","alwhite.site","C:\batch\cycle.bat ","N/A","N/A","Disabled","Disabled","Stop On Battery Mode, No Start On Batteries","cbatl\webusr","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","1:24:00 AM","11/15/2011","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\MAILSM2","\Grimreaper","6/24/2016 10:00:00 PM","Ready","Interactive/Background","6/23/2016 10:00:00 PM","0","Administrator","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","10/6/2009","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\MAILSM2","\Cycle","6/25/2016 4:46:00 AM","Ready","Interactive/Background","6/24/2016 4:46:00 AM","0","Administrator","C:\batch\cycle.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","cbatl\mtusr","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","4:46:00 AM","10/6/2009","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\MAILSM2","\Clean app pool","N/A","Ready","Interactive/Background","5/14/2015 11:15:00 AM","2","wboatin.site","D:\temp\versionedcleaner.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","One Time Only","11:15:00 AM","5/14/2015","N/A","N/A","N/A","Disabled","Disabled","Disabled","Disabled"
"\\QTXBATCH7","\Grimreaper","6/24/2016 10:00:00 PM","Ready","Interactive/Background","6/23/2016 10:00:00 PM","0","alwhite.site","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","12/2/2011","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\QTXBATCH7","\Cycle","N/A","Disabled","Interactive/Background","N/A","1","alwhite.site","C:\batch\cycle.bat ","N/A","N/A","Disabled","Disabled","Stop On Battery Mode, No Start On Batteries","cbatl\webusr","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","1:24:00 AM","11/15/2011","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\CBSVC4","\Grimreaper","6/24/2016 10:00:00 PM","Ready","Interactive/Background","6/23/2016 9:59:59 PM","0","alwhite.site","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","12/2/2011","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\CBSVC4","\Cycle","6/25/2016 2:44:00 AM","Ready","Interactive/Background","6/24/2016 2:44:00 AM","0","alwhite.site","C:\batch\cycle.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","cbatl\mtusr","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","2:44:00 AM","11/29/2011","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\CBSVC4","\Clean app pool","N/A","Ready","Interactive/Background","5/14/2015 11:15:00 AM","0","wboatin.site","D:\temp\versionedcleaner.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","One Time Only","11:15:00 AM","5/14/2015","N/A","N/A","N/A","Disabled","Disabled","Disabled","Disabled"
"\\BEARWEB48","\Grimreaper","6/24/2016 10:00:00 PM","Ready","Interactive/Background","6/23/2016 9:59:59 PM","0","Administrator","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","2/6/2015","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\BEARWEB48","\Cycle","6/25/2016 2:16:00 AM","Ready","Interactive/Background","6/24/2016 2:16:00 AM","0","Administrator","C:\batch\cycle.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","cbatl\webusr","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","2:16:00 AM","2/6/2015","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\MAILSM102","\Grimreaper","6/24/2016 10:00:00 PM","Ready","Interactive/Background","6/23/2016 10:00:00 PM","0","Administrator","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","10/14/2009","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\MAILSM102","\Cycle","6/25/2016 3:45:00 AM","Ready","Interactive/Background","6/24/2016 3:45:00 AM","0","Administrator","C:\batch\cycle.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","cbatl\mtusr","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","3:45:00 AM","10/14/2009","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\MAILSM102","\Clean app pool","N/A","Ready","Interactive/Background","5/14/2015 11:15:00 AM","2","wboatin.site","D:\temp\versionedcleaner.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","One Time Only","11:15:00 AM","5/14/2015","N/A","N/A","N/A","Disabled","Disabled","Disabled","Disabled"
